time_id,time,week,hour,weekDays,number
10532,2020/12/25 17:46,4,17,1,0
10533,2020/12/25 17:51,4,17,1,0
10534,2020/12/25 17:57,4,17,1,0
10535,2020/12/25 18:02,4,18,1,0
10536,2020/12/25 18:07,4,18,1,0
10537,2020/12/25 18:12,4,18,1,0
10538,2020/12/25 18:17,4,18,1,0
10539,2020/12/25 18:22,4,18,1,0
10540,2020/12/25 18:27,4,18,1,0
10541,2020/12/25 18:32,4,18,1,0
10542,2020/12/25 18:37,4,18,1,0
10543,2020/12/25 18:42,4,18,1,0
10544,2020/12/25 18:48,4,18,1,0
10545,2020/12/25 18:53,4,18,1,0
10546,2020/12/25 18:58,4,18,1,0
10547,2020/12/25 19:03,4,19,1,0
10548,2020/12/25 19:08,4,19,1,0
10549,2020/12/25 19:13,4,19,1,0
10550,2020/12/25 19:18,4,19,1,0
10551,2020/12/25 19:23,4,19,1,0
10552,2020/12/25 19:28,4,19,1,0
10553,2020/12/25 19:33,4,19,1,0
10554,2020/12/25 19:39,4,19,1,0
10555,2020/12/25 19:44,4,19,1,0
10556,2020/12/25 19:49,4,19,1,0
10557,2020/12/25 19:54,4,19,1,0
10558,2020/12/25 19:59,4,19,1,0
10559,2020/12/25 20:04,4,20,1,0
10560,2020/12/25 20:09,4,20,1,0
10561,2020/12/25 20:14,4,20,1,0
10562,2020/12/25 20:19,4,20,1,0
10563,2020/12/25 20:24,4,20,1,0
10564,2020/12/25 20:30,4,20,1,0
10565,2020/12/25 20:35,4,20,1,0
10566,2020/12/25 20:40,4,20,1,0
10567,2020/12/25 20:45,4,20,1,0
10568,2020/12/25 20:50,4,20,1,0
10569,2020/12/25 20:55,4,20,1,0
10570,2020/12/25 21:00,4,21,1,0
10571,2020/12/25 21:05,4,21,1,0
10572,2020/12/25 21:10,4,21,1,0
10573,2020/12/25 21:15,4,21,1,0
10574,2020/12/25 21:20,4,21,1,0
10575,2020/12/25 21:26,4,21,1,0
10576,2020/12/25 21:31,4,21,1,0
10577,2020/12/25 21:36,4,21,1,0
10578,2020/12/25 21:41,4,21,1,0
10579,2020/12/25 21:46,4,21,1,0
10580,2020/12/25 21:51,4,21,1,0
10581,2020/12/25 21:56,4,21,1,0
10582,2020/12/25 22:01,4,22,1,0
10583,2020/12/25 22:06,4,22,1,0
10584,2020/12/25 22:11,4,22,1,0
10585,2020/12/25 22:17,4,22,1,0
10586,2020/12/25 22:22,4,22,1,0
10587,2020/12/25 22:27,4,22,1,0
10588,2020/12/25 22:32,4,22,1,0
10589,2020/12/25 22:37,4,22,1,0
10590,2020/12/25 22:42,4,22,1,0
10591,2020/12/25 22:47,4,22,1,0
10592,2020/12/25 22:52,4,22,1,0
10593,2020/12/25 22:57,4,22,1,0
10594,2020/12/25 23:02,4,23,1,0
10595,2020/12/25 23:08,4,23,1,0
10596,2020/12/25 23:13,4,23,1,0
10597,2020/12/25 23:18,4,23,1,0
10598,2020/12/25 23:23,4,23,1,0
10599,2020/12/25 23:28,4,23,1,0
10600,2020/12/25 23:33,4,23,1,0
10601,2020/12/25 23:38,4,23,1,0
10602,2020/12/25 23:43,4,23,1,0
10603,2020/12/25 23:48,4,23,1,0
10604,2020/12/25 23:53,4,23,1,0
10605,2020/12/25 23:59,4,23,1,0
10606,2020/12/26 0:04,5,0,0,0
10607,2020/12/26 0:09,5,0,0,0
10608,2020/12/26 0:14,5,0,0,0
10609,2020/12/26 0:19,5,0,0,0
10610,2020/12/26 0:24,5,0,0,0
10611,2020/12/26 0:29,5,0,0,0
10612,2020/12/26 0:34,5,0,0,0
10613,2020/12/26 0:39,5,0,0,0
10614,2020/12/26 0:44,5,0,0,0
10615,2020/12/26 0:50,5,0,0,0
10616,2020/12/26 0:55,5,0,0,0
10617,2020/12/26 1:00,5,1,0,0
10618,2020/12/26 1:05,5,1,0,0
10619,2020/12/26 1:10,5,1,0,0
10620,2020/12/26 1:15,5,1,0,0
10621,2020/12/26 1:20,5,1,0,0
10622,2020/12/26 1:25,5,1,0,0
10623,2020/12/26 1:30,5,1,0,0
10624,2020/12/26 1:35,5,1,0,0
10625,2020/12/26 1:41,5,1,0,0
10626,2020/12/26 1:46,5,1,0,0
10627,2020/12/26 1:51,5,1,0,0
10628,2020/12/26 1:56,5,1,0,0
10629,2020/12/26 2:01,5,2,0,0
10630,2020/12/26 2:06,5,2,0,0
